Movie Name,Time,Rating,Top 7 Cast,Western,Documentary,Music,TV Movie,War,History,Horror,Romance,Drama,Mystery,Fantasy,Crime,Comedy,Family,Animation,Thriller,Adventure,Science Fiction,Action
Venom: The Last Dance (2024),109,68,Tom HardyEddie Brock / Venom; Chiwetel EjioforGeneral Rex Strickland; Juno TempleDr. Teddy Paine; Clark BackoSadie Christmas; Rhys IfansMartin Moon; Stephen GrahamDetective Mulligan; Peggy LuMrs. Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Moana 2 (2024),100,70,Auliʻi CravalhoMoana (voice); Dwayne JohnsonMaui (voice); Hualālai ChungMoni (voice); Rose MatafeoLoto (voice); David FaneKele (voice); Awhimai FraserMatangi (voice); Khaleesi Lambert-TsudaSimea (voice),0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Elevation (2024),91,63,Anthony MackieWill; Morena BaccarinNina; Maddie HassonKatie; Danny Boyd Jr.Hunter; Rachel NicksTara; Shauna EarpHannah; Tyler GreyTim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Absolution (2024),112,59,Liam NeesonThug; Ron PerlmanCharlie Conner; Yolonda RossWoman; Frankie ShawDaisy; Daniel DiemerKyle Conner; Javier MolinaGamberro; Jimmy GonzalesDiego Machado,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Red One (2024),124,70,Dwayne JohnsonCallum Drift; Chris EvansJack O'Malley; Lucy LiuZoe; J.K. SimmonsNick; Bonnie HuntMrs. Claus; Kristofer HivjuKrampus; Kiernan ShipkaGryla,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Armor (2024),89,56,Sylvester StalloneRook; Jason PatricJames Brody; Josh WigginsCasey Brody; Dash MihokSmoke; Erin OwnbeyTrisha Brody; Laney StiebingSara Brody; Jeff ChaseViper,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"Miraculous World, London: At the Edge of Time (2024)",50,82,Annouck HautboisMarinette / Ladybug / Bug Noire / Chronobug (voice); Benjamin BollenAdrien Agreste / Cat Noir / Félix Graham (voice); Marie NonnenmacherTikki (voice); Thierry KazazianPlagg (voice); Adeline ChetailAlix Kubdel / Bunnyx (voice); Clara SoaresLila Rossi / Cerise Bianca / Chrysalis (voice); Martial Le MinouxNooroo (voice),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
That Christmas (2024),91,72,Brian CoxSanta (voice); Bill NighyLighthouse Bill (voice); Fiona ShawMs. Trapper (voice); Jack WisniewskiDanny Williams (voice); Jodie WhittakerMrs. Williams (voice); India BrownBernadette McNutt (voice); Guz KhanDasher (voice),0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
Watchmen: Chapter II (2024),89,75,Troy BakerAdrian Veidt / Ozymandias / Derf / Laurence Schexnayder / Gerald Grice / News Announcer (voice); Adrienne BarbeauSally Jupiter / Police Dispatcher (voice); Michael CerverisDr. Manhattan / Prison Guard #2 (voice); Zehra FazalHira Manish / Newscaster (voice); Phil FondacaroTom Ryan / Big Figure (voice); Grey DeLisleFemale Citizen #1 / Advisor #1 (voice); John Marshall JonesOtis / Malcolm Long / General #1 (voice),0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
The Wild Robot (2024),102,84,Lupita Nyong'oRoz / Rummage (voice); Pedro PascalFink (voice); Kit ConnorBrightbill (voice); Bill NighyLongneck (voice); Stephanie HsuVontra (voice); Matt BerryPaddler (voice); Ving RhamesThunderbolt (voice),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Sikandar Ka Muqaddar (2024),143,58,Jimmy ShergillJaswinder Singh; Avinash TiwarySikandar Sharma; Tamannaah BhatiaKamini Singh; Divya DuttaKaushalya Singh; Rajeev MehtaMangesh Desai; Zoya AfrozTabassum Khan; Ridhima PanditPriya Sawant,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
Gladiator II (2024),148,68,Paul MescalLucius; Denzel WashingtonMacrinus; Pedro PascalGeneral Acacius; Connie NielsenLucilla; Joseph QuinnEmperor Geta; Fred HechingerEmperor Caracalla; Lior RazViggo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
